date,close
2017-01-03,2.8521032333374023
2017-01-04,2.877298355102539
2017-01-05,2.871419668197632
2017-01-06,2.8621814250946045
2017-01-09,2.8722593784332275
2017-01-10,2.86470103263855
2017-01-11,2.84370493888855
2017-01-12,2.8294272422790527
2017-01-13,2.8344664573669434
2017-01-16,2.8311069011688232
2017-01-17,2.835306406021118
2017-01-18,2.8537826538085938
2017-01-19,2.84370493888855
2017-01-20,2.8680601119995117
2017-01-23,2.8689138889312744
2017-01-24,2.8706212043762207
2017-01-25,2.8791565895080566
2017-01-26,2.8911070823669434
2017-02-03,2.874035358428955
2017-02-06,2.8731815814971924
2017-02-07,2.8680601119995117
2017-02-08,2.88769268989563
2017-02-09,2.8979358673095703
2017-02-10,2.9133005142211914
2017-02-13,2.9286651611328125
2017-02-14,2.9320790767669678
2017-02-15,2.9218363761901855
2017-02-16,2.9346399307250977
2017-02-17,2.9175684452056885
2017-02-20,2.96536922454834
2017-02-21,2.96536922454834
2017-02-22,2.9747586250305176
2017-02-23,2.9619553089141846
2017-02-24,2.9593939781188965
2017-02-27,2.936347484588623
2017-02-28,2.940615177154541
2017-03-01,2.9440295696258545
2017-03-02,2.9337868690490723
2017-03-03,2.922689914703369
2017-03-06,2.9372010231018066
2017-03-07,2.9414689540863037
2017-03-08,2.9448835849761963
2017-03-09,2.918421983718872
2017-03-10,2.920982599258423
2017-03-13,2.952565908432007
2017-03-14,2.9457366466522217
2017-03-15,2.9508581161499023
2017-03-16,2.968783378601074
2017-03-17,2.9354937076568604
2017-03-20,2.9372010231018066
2017-03-21,2.9576869010925293
2017-03-22,2.9423227310180664
2017-03-23,2.9508581161499023
2017-03-24,2.9790267944335938
2017-03-27,2.96536922454834
2017-03-28,2.961101770401001
2017-03-29,2.9551262855529785
2017-03-30,2.926957845687866
2017-03-31,2.9482975006103516
2017-04-05,2.9969520568847656
2017-04-06,2.993537664413452
2017-04-07,2.9995133876800537
2017-04-10,2.991830825805664
2017-04-11,2.9995133876800537
2017-04-12,2.9884159564971924
2017-04-13,2.9995133876800537
2017-04-14,2.9747586250305176
2017-04-17,2.9645159244537354
2017-04-18,2.9576869010925293
2017-04-19,2.9346399307250977
2017-04-20,2.9508581161499023
2017-04-21,2.9534189701080322
2017-04-24,2.9218363761901855
2017-04-25,2.931225538253784
2017-04-26,2.938054084777832
2017-04-27,2.9397618770599365
2017-04-28,2.9286651611328125
2017-05-02,2.9243972301483154
2017-05-03,2.909885883331299
2017-05-04,2.898789405822754
2017-05-05,2.8800103664398193
2017-05-08,2.8552565574645996
2017-05-09,2.8578169345855713
2017-05-10,2.847574234008789
2017-05-11,2.8620851039886475
2017-05-12,2.885132074356079
2017-05-15,2.8970823287963867
2017-05-16,2.931225538253784
2017-05-17,2.911593198776245
2017-05-18,2.898789405822754
2017-05-19,2.9039111137390137
2017-05-22,2.9064717292785645
2017-05-23,2.9192755222320557
2017-05-24,2.9192755222320557
2017-05-25,2.9815874099731445
2017-05-26,2.976465940475464
2017-05-31,2.978173017501831
2017-06-01,2.985001802444458
2017-06-02,2.9773197174072266
2017-06-05,2.9576869010925293
2017-06-06,2.980734348297119
2017-06-07,3.0217061042785645
2017-06-08,3.043045997619629
2017-06-09,3.0618250370025635
2017-06-12,3.05584979057312
2017-06-13,3.0618250370025635
2017-06-14,3.031095504760742
2017-06-15,3.020853042602539
2017-06-16,3.015730857849121
2017-06-19,3.049874782562256
2017-06-20,3.040485143661499
2017-06-21,3.0788967609405518
2017-06-22,3.082310914993286
2017-06-23,3.112186908721924
2017-06-26,3.1505982875823975
2017-06-27,3.1523053646087646
2017-06-28,3.1309657096862793
2017-06-29,3.1497445106506348
2017-06-30,3.144623279571533
2017-07-03,3.1309657096862793
2017-07-04,3.105358123779297
2017-07-05,3.1454765796661377
2017-07-06,3.142915964126587
2017-07-07,3.141209125518799
2017-07-10,3.144623279571533
2017-07-11,3.1702306270599365
2017-07-12,3.151451826095581
2017-07-13,3.1838881969451904
2017-07-14,3.205228090286255
2017-07-17,3.1616950035095215
2017-07-18,3.1634023189544678
2017-07-19,3.22912859916687
2017-07-20,3.244493007659912
2017-07-21,3.2282750606536865
2017-07-24,3.244493007659912
2017-07-25,3.2197391986846924
2017-07-26,3.2018139362335205
2017-07-27,3.2112033367156982
2017-07-28,3.2231531143188477
2017-07-31,3.2351036071777344
2017-08-01,3.260711193084717
2017-08-02,3.260711193084717
2017-08-03,3.2282750606536865
2017-08-04,3.2086422443389893
2017-08-07,3.2282750606536865
2017-08-08,3.22912859916687
2017-08-09,3.2265677452087402
2017-08-10,3.2197391986846924
2017-08-11,3.158280849456787
2017-08-14,3.1975457668304443
2017-08-15,3.2060813903808594
2017-08-16,3.200960159301758
2017-08-17,3.2257137298583984
2017-08-18,3.2274210453033447
2017-08-21,3.2410788536071777
2017-08-22,3.2462003231048584
2017-08-23,3.2547361850738525
2017-08-24,3.2376644611358643
2017-08-25,3.294001340866089
2017-08-28,3.331559181213379
2017-08-29,3.324730634689331
2017-08-30,3.3213160037994385
2017-08-31,3.315340757369995
2017-09-01,3.3196089267730713
2017-09-04,3.331559181213379
2017-09-05,3.3435094356536865
2017-09-06,3.333266496658325
2017-09-07,3.3187553882598877
2017-09-08,3.315340757369995
2017-09-11,3.320462226867676
2017-09-12,3.328998565673828
2017-09-13,3.331559181213379
2017-09-14,3.320462226867676
2017-09-15,3.3255844116210938
2017-09-18,3.338387966156006
2017-09-19,3.3170483112335205
2017-09-20,3.3324131965637207
2017-09-21,3.333266496658325
2017-09-22,3.3238770961761475
2017-09-25,3.3102197647094727
2017-09-26,3.3119266033172607
2017-09-27,3.3144874572753906
2017-09-28,3.3196089267730713
2017-09-29,3.3307056427001953
2017-10-09,3.3657028675079346
2017-10-10,3.3699707984924316
2017-10-11,3.382774829864502
2017-10-12,3.3972854614257812
2017-10-13,3.4041144847869873
2017-10-16,3.3921637535095215
2017-10-17,3.3904566764831543
2017-10-18,3.410943031311035
2017-10-19,3.4015536308288574
2017-10-20,3.3998465538024902
2017-10-23,3.4100894927978516
2017-10-24,3.4322829246520996
2017-10-25,3.4433794021606445
2017-10-26,3.4681336879730225
2017-10-27,3.4852054119110107
2017-10-30,3.4698405265808105
2017-10-31,3.4672796726226807
2017-11-01,3.455329418182373
2017-11-02,3.4613046646118164
2017-11-03,3.4519152641296387
2017-11-06,3.4826440811157227
2017-11-07,3.5167882442474365
2017-11-08,3.509105920791626
2017-11-09,3.535567045211792
2017-11-10,3.567150115966797
2017-11-13,3.5748326778411865
2017-11-14,3.5475172996520996
2017-11-15,3.521909475326538
2017-11-16,3.55519962310791
