日期,指数代码,指数中文全称,指数中文简称,指数英文全称,指数英文简称,开盘,最高,最低,收盘,涨跌,涨跌幅,成交量,成交金额,样本数量,滚动市盈率,date
2017-03-01,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1623.25,,,0.0,0.0,5.0,,2017-03-01
2017-03-02,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1622.6,,,0.0,0.0,5.0,,2017-03-02
2017-03-03,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1621.7,,,0.0,0.0,5.0,,2017-03-03
2017-03-06,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1622.27,,,0.0,0.0,5.0,,2017-03-06
2017-03-07,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1621.64,,,0.0,0.0,5.0,,2017-03-07
2017-03-08,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1620.36,,,0.0,0.0,5.0,,2017-03-08
2017-03-09,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1617.99,,,0.0,0.0,5.0,,2017-03-09
2017-03-10,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1616.83,,,0.0,0.0,5.0,,2017-03-10
2017-03-13,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1619.13,,,0.0,0.0,5.0,,2017-03-13
2017-03-14,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1618.55,,,0.0,0.0,5.0,,2017-03-14
2017-03-15,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1618.95,,,0.0,0.0,5.0,,2017-03-15
2017-03-16,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1623.17,,,0.0,0.0,5.0,,2017-03-16
2017-03-17,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1622.71,,,0.0,0.0,5.0,,2017-03-17
2017-03-20,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1623.07,,,0.0,0.0,5.0,,2017-03-20
2017-03-21,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1622.16,,,0.0,0.0,5.0,,2017-03-21
2017-03-22,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1623.0,,,0.0,0.0,5.0,,2017-03-22
2017-03-23,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1623.65,,,0.0,0.0,5.0,,2017-03-23
2017-03-24,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1624.98,,,0.0,0.0,5.0,,2017-03-24
2017-03-27,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1626.82,,,0.0,0.0,5.0,,2017-03-27
2017-03-28,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1626.66,,,0.0,0.0,5.0,,2017-03-28
2017-03-29,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1626.36,,,0.0,0.0,5.0,,2017-03-29
2017-03-30,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1624.43,,,0.0,0.0,5.0,,2017-03-30
2017-03-31,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1623.97,,,0.0,0.0,5.0,,2017-03-31
2017-04-05,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1627.91,,,0.0,0.0,5.0,,2017-04-05
2017-04-06,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1628.19,,,0.0,0.0,5.0,,2017-04-06
2017-04-07,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1630.25,,,0.0,0.0,5.0,,2017-04-07
2017-04-10,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1630.13,,,0.0,0.0,5.0,,2017-04-10
2017-04-11,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1630.91,,,0.0,0.0,5.0,,2017-04-11
2017-04-12,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1631.55,,,0.0,0.0,5.0,,2017-04-12
2017-04-13,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1632.52,,,0.0,0.0,5.0,,2017-04-13
2017-04-14,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1631.37,,,0.0,0.0,5.0,,2017-04-14
2017-04-17,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1628.43,,,0.0,0.0,5.0,,2017-04-17
2017-04-18,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1625.72,,,0.0,0.0,5.0,,2017-04-18
2017-04-19,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1624.13,,,0.0,0.0,5.0,,2017-04-19
2017-04-20,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1623.12,,,0.0,0.0,5.0,,2017-04-20
2017-04-21,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1621.29,,,0.0,0.0,5.0,,2017-04-21
2017-04-24,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1616.75,,,0.0,0.0,5.0,,2017-04-24
2017-04-25,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1616.41,,,0.0,0.0,5.0,,2017-04-25
2017-04-26,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1615.45,,,0.0,0.0,5.0,,2017-04-26
2017-04-27,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1615.45,,,0.0,0.0,5.0,,2017-04-27
2017-04-28,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1616.51,,,0.0,0.0,5.0,,2017-04-28
2017-05-02,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1615.2,,,0.0,0.0,5.0,,2017-05-02
2017-05-03,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1613.11,,,0.0,0.0,5.0,,2017-05-03
2017-05-04,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1609.22,,,0.0,0.0,5.0,,2017-05-04
2017-05-05,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1606.62,,,0.0,0.0,5.0,,2017-05-05
2017-05-08,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1603.1,,,0.0,0.0,5.0,,2017-05-08
2017-05-09,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1601.87,,,0.0,0.0,5.0,,2017-05-09
2017-05-10,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1596.79,,,0.0,0.0,5.0,,2017-05-10
2017-05-11,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1595.33,,,0.0,0.0,5.0,,2017-05-11
2017-05-12,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1595.63,,,0.0,0.0,5.0,,2017-05-12
2017-05-15,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1596.72,,,0.0,0.0,5.0,,2017-05-15
2017-05-16,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1598.35,,,0.0,0.0,5.0,,2017-05-16
2017-05-17,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1597.68,,,0.0,0.0,5.0,,2017-05-17
2017-05-18,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1598.0,,,0.0,0.0,5.0,,2017-05-18
